name,category,icon,downloads,updateDate,description
Thor: Champions of Asgard,Game,https://lh6.ggpht.com/XaRT_7JX9TVGw6TmansL1u2GiVjAz3NpFzzt9_GKgLJXYZpYSGMtv4NVv8S5tw41dmU=w300,"100,000 - 500,000","October 31, 2013","Continue your adventure throughout the worlds of Yggdrasil in this stylized tower defense interpretation of the classical Norse myths with Thor and his Army! Journey with the god of thunder, the goddess of beauty and sorcery and an intrepid valkyrie to avenge the destruction of Asgard. Put a stop to the evildoers who wish to bring the chaos of Ragnarok to the nine realms!“The sun will go black, earth sink in the sea, heaven be stripped of its bright stars” — Gylfaginning (“The Tricking of Gylfi”), Prose EddaThe mighty Norse heroes are back in this free, action-packed sequel! After defeating the Trickster Loki (in “Thor: Lord of Storms”), Thor, Freya and Brunhilde have learned new powers and abilities - and they’re going to need them to push back Ragnarok!The heroes must fight their way through the smoking ruins of Asgard, cross the rainbow bridge, Bifrost, and descend into Niflheim, the mysterious primordial land of ice and mist. They will face difficult odds and will confront countless enemies including dragons, the Midgard Serpent, and even a fallen Norn. Features:- Simple controls, deep and challenging gameplay- Journey across new realms in pursuit of new foes- Choose your favorite champion from Norse mythology: Thor the Thunderer, Freya the Enchantress, or Brunhilde the Valkyrie shieldmaiden.- New powers and abilities- Upgrade your hero to improve your stats and unlock new skills that will help you dominate the battlefield.- Summon Odin, Eir, Tyr, and other mythical characters to aid you in battle- Build up and upgrade your armies to defeat the harbingers of RagnarokDownload Thor: Champions of Asgard now and help Thor, Freya, and Brynhilde deliver justice to the evil villains who wish to spread chaos and destruction across the Nine Worlds. ‘Tis hammer time!**While this app is free, please be aware that it contains optional paid content. You can disable in-app purchases by adjusting your device settings. **"
Hello Kitty Cafe Seasons,Game,https://lh5.ggpht.com/r_t1YXFkX1aVOSWkvlJsuuPAmmqJmrFgANqur5YN-xScqjNilXu4sLMjLyTJNmYeoA=w300,"500,000 - 1,000,000","November 4, 2013","Enjoy this addictive and engaging time-management gameplay where you team up with Hello Kitty and Sanrio friends as you run an already famous cafe. Open and set up shop on the scariest night of the year. Help Hello Kitty run her busy establishment by handling the seating, delegating tasks to the restaurant staff, and managing the cafe's equipment and upgrades.It’s Halloween! Children of all ages dress up as monsters and roam the streets for the traditional Trick-or-Treat. For sure, after a fun night outside the neighborhood, all they need is a good meal. Be prepared for the monster mob! Make sure your café is ready to serve fresh, hot and fast meals for these hungry ghouls. Take control of the shop, see if you can keep up with the demand, and make Hello Kitty's cozy little cafe the best in town!Test your speed and strategic planning! You must serve food to all customers quickly and efficiently in order to keep them from walking out dissatisfied. Getting overrun by an insatiable crowd? Whenever Hello Kitty gets overwhelmed by customers, her friends can lend a paw. You can hire Keroppi, My Melody, Badtz Maru, Pekke, Pochacco, Lala, Kiki, and Purin as part of the cafe staff until your cafe is just bursting with cuteness. Learn how to utilize Hello Kitty’s friends efficiently and train them to become exceptional restaurant workers. Acquire additional seats to accommodate more patrons. Upgrading your equipment also helps reduce waiting times and customer walkouts.  If your cafe consistently provides good food and great service, a mystery VIP guest might drop by! Features- The cute and cuddly Hello Kitty is back to serve up ghoulish delights!- Adorable Halloween themed graphics- Classic time management gameplay- Purchase upgrades for your café to serve more customers more quickly- Hire and train Hello Kitty's friends to help run the café- Get a visits from VIP's to earn bonus coins!**Hello Kitty Cafe Seasons supports both mobile phones and tablets****While this app is free, please be aware that it contains paid content that can be purchased for real money upon users' wish to enhance their gaming experience. You can disable in-app purchases by adjusting your device’s settings. **"
Slots™: Haunted Halloween,Game,https://lh5.ggpht.com/UwaXGKzwUEDYbhKqdvAq9PAIrX3T3-jOw21eWnc7uX7gLRbbJGWL8prvOqhx-44o3g=w300,"100,000 - 500,000","October 24, 2013","Halloween is here! Don't be afraid, check out our latest Halloween themed slotmachine for a chance to win big! Download now to spend hours playing avariety of slot machines on your phone for FREE. Just tap to spin andwatch the money roll in!★ LIMITED TIME Halloween Sale - Play now and get BIG discounts!★ FREE updates with new slot machines★ Win more often than any other slots game★ Exciting animations and cool effects★ Free Spins, Wilds & Bonuses★ Play on 5 reels with up to 30 lines★ Top notch performance on your Android deviceExplore a wide variety of Vegas style slot machine themes:- NEW - Halloween themed slot machine!- Uncover the Pharaoh’s Treasures!- Get mesmerized by Vampire’s Seduction!- Win a jackpot with Lucky 7’s!- Be victorious against the Alien Invasion!- Plus even more popular and original themes.Please note: Slots™: Haunted Halloween is an online only game. Your device must have an active internet connection to play.Please note that Slots™: Haunted Halloween is free to play, but you can purchase in-app items with real money. To delete this feature, on your device go to the Google Play Store, tap the Menu button, select Settings > Use PIN for purchase. Then, set up the four-digit PIN on the option below. In addition, Slots™: Haunted Halloween may link to social media services, such as Facebook, and Storm8 will have access to your information through such services.Shark Party is a Storm8 studio. Storm8 is the #1 Mobile Social Game Developer on Android, iPhone, iPod Touch, and iPad. Use of this application is governed by the Shark Party Terms of Service. Collection and use of data are subject to Shark Party's Privacy Policy. Both policies are available at www.sharkparty.com/terms and www.sharkparty.com/privacy."
Jelly Splash,Game,https://lh5.ggpht.com/oMoOYSMV31KY-unkOUvwuQSWonhisdMkhdtQRmbUVfGxnJ4z44XHZTGyNI-R7nGDXI1m=w300,"1,000,000 - 5,000,000","November 1, 2013","Connect colorful lines of Jelly to solve over 100 levels in this compelling puzzle adventure. Why don’t you jump in and make a big splash in Jelly Land?Jelly Splash is completely free to play but some in-game items such as extra moves or lives will require payment or Facebook connection. You can turn off the payment feature by disabling in-app purchases in your device’s settings.------------------------------- JELLY SPLASH FEATURES:• Easy to learn, hard to master• Colorful and vivid graphics• No annoying time limits - play at your own pace• Over 100 levels with challenging obstacles • 5 unique modes• Leaderboards to compete against your friends through Facebook• Unlock and master the power of Super Jellies• Seamless synchronization with Facebook • Boosters to help you through tough levelsHaving problems? Any suggestions? We would love to hear from you! You can reach us at:http://contact.wooga.com/?game=plaSo join the millions, and match 3 or more Jellies in this puzzle of lines. Crush through this sweet mania by connecting Super Jellies, but be careful of the evil critters – they aren't candy, they are slime! Compete with your friends for a high score on each of the adventures. Blitz through 100 free levels in this addictive mania now!"
DEAD TRIGGER 2,Game,https://lh5.ggpht.com/Mpwa1Uw1wdv1_atcxIf7B-FtsDjKPRhTcSQ_NsFnQttM_SUhmGi4rOoCuCOCYNBY6B8=w300,"1,000,000 - 5,000,000","October 29, 2013","***The award-winning stunning first person zombie shooter is back! ***Join the new sequel to Dead Trigger, the popular hit with more than 23M downloads!""Hours of fun in marathon sessions or short bursts."" - Gamezebo ""The gap between mobile and console gaming is shrinking substantially."" - 148apps ""The game is improving upon everything that made the first title great."" - Arcade SushiDownload Dead Trigger 2 for FREE and enter a world where humanity is engaged in the ultimate battle for survival in the face of a global Zombie apocalypse.Find a safe place to hide-out, get equipped, and fight for your life in a real time bid for survival against an onslaught of bloodthirsty undead. Join the Global Resistance and fight to crush the Zombie plague that has positioned the Earth on the edge of peril. It’s up to you to provide humanity with a new chance at survival.THE FINGER IS MIGHTIER THAN THE GUNChoose between a touch control scheme created especially for casual players or an enhanced virtual joystick.Prefer console gaming? Then go ahead and use a fully supported gamepad. MOUTH-WATERING GRAPHICSYou’ll be dazzled by cutting-edge graphics, including real time water reflections, dynamic vegetation and enhanced ragdolls. Explore various locations and slaughter the undead in eerie alleyways, abandoned mines or the African desert.REAL TIME STORY DEVELOPMENTYou are not alone. Take part in the Global Resistance, tune in to radio station to stay informed as the global gameplay develops, directly influenced by the participation of every single player. Enjoy different types of missions such as story missions, global missions or side-quests.THE HIDEOUTExplore your personal hide-out and encounter the Gunsmith, Medic, Scientist, Smuggler and Engineer, NPCs who will help you unlock incredible new weapons and gadgets.AMAZING NEW GAME CONTENTForget easy-to-kill Zombies. Get ready for Kamikaze, Vomitron and other bosses – powerful Zombies with an inventive approach to elimination.Create and upgrade your own impressive stockpile of weapons.   BONUS FEATURESOur favorite ones? Grenade Chickens, Rocket Chickens and machine-gun mounted Chickens. Bet you’re gonna love them...ENHANCED FOR TEGRA 4 DEVICES!Support for NVIDIA Shield and other Android HID compatible controllers."
Grand Theft Auto: iFruit,Game,https://lh5.ggpht.com/kzy-f7Mxtvm5fD4InPHVQgkiF1isE4om88RRpooZqMvFf4cUkvjSFFV0hTn9AsR5g6E=w300,"100,000 - 500,000","November 4, 2013","How would we survive without apps? Apps can transform your mobile device into essential tools like a harmonica, disco ball or convincing moustache. Somewhere out there is the perfect storm of touchscreen technology to fix everything that’s wrong with your life. And maybe all you’re missing is the iFruit app. Maybe not. At least you’ll have something to keep you entertained while your significant other prattles on endlessly about their day. iFruit hooks directly into your experience of Grand Theft Auto V with some fun activities to further postpone the need for real social interaction. Keep up-to-date on the latest Grand Theft Auto V news, log into the Rockstar Games Social Club, stay connected on LifeInvader and launch other Rockstar Games apps. Los Santos Customs The Los Santos Customs app offers players the freedom to create their ultimate vehicle in Grand Theft Auto V from anywhere. At the bar, on the beach, on the toilet. This is the future, we’re almost sure of it. You can even create and reserve custom license plates for both Grand Theft Auto V and Grand Theft Auto Online – order your personalized plates before they’re gone! Also choose from paint jobs, window tints, smoke colors, wheels, hoods and spoilers. Upgrade your engine, brakes, exhaust, suspension, and accessorize with new lights, horns, tires and body armor. Place your order on-the-go and find it waiting for you in the garage the next time you play Grand Theft Auto V, or send your order in while playing and get a call from your local mechanic to swing by. Everybody’s had some work done in Los Santos, so don’t let your ride be the exception to the rule. Chop the Dog Depth of content, high production values, defecation. It’s the app that has it all. Because who doesn’t love tending to a virtual pet? Chop is Franklin’s canine sidekick in Grand Theft Auto V. Look after him well in the “Chop the Dog” app and you will reap the benefits when playing as Franklin in Grand Theft Auto V. Pet him, feed and water him, play fetch and tug-of-war, teach him tricks. Too much or too little of an activity, however, will cause Chop to become unhappy, and nobody likes an unhappy Rottweiler. Take Chop on walks to give him a chance to work off last night’s steak and Piswasser and to mark his turf in the hood - defending his ladies, fending off gang members and even protecting the beach babes of Los Santos from unsightly tan lines by removing their bikinis. Looking after Chop successfully is reflected in his behavior in Grand Theft Auto V in a number of ways: • He will be more helpful and responsive to Franklin • He will perform tricks such as sitting, begging and giving paw if properly trained through the app • He will sniff out the nearest hidden items when the player takes him for a walk • Earn enough credits through walks and proper caretaking and exchange them for new collars for ChopFor information about supported devices and compatibility, please see: http://support.rockstargames.com/hc/en-us/articles/200628778"
Mechs vs Aliens,Game,https://lh5.ggpht.com/a3jGU2iyx4wpi_LFC9g1im6_dZOZRpsJkQqm1Rnf6VNEPlqwAnAVbQYMh3FJ42Q-rBs=w300,"500,000 - 1,000,000","November 5, 2013","Transform into a giant mech of destruction and battle deadly extraterrestrial kaiju monsters to save our planet! Play this FREE turn-based fighting game in which you take control of elite war robots to defend the Earth from alien invaders.Under attack by alien monsters! All the world’s nations are united in the Planetary Council to defend the world against enormous alien aggressors. Countries including the USA, UK, South Korea, Russia, Germany, China, Japan, France, and Brazil join forces as they deploy the last hope of planet Earth: high-powered giant machines of destruction converted into the ultimate defenders. Will the alliance of nations and the might of their mechs prevail against the extraterrestrial threat? Play solo or against friends!Stunning, immersive 3D visuals show you every detail of the titanic clash between mecha and alien kaiju in this uniquely action-packed turn-based fighting game. Outwit, outplay, and outsmart your opponents using turn-based fighting mechanics. Whip out a variety of punishing moves to pulverize your opponents. Protect the world from the alien threat in Story mode or test your skills through the challenging Arcade and Survival modes!Get ready to pummel your enemies to bits: play Mechs vs Aliens now, FREE!Features:- Unique turn-based battle system- Charge up your mech's super meter and unleash a powerful finishing move- 9 ultra-powered Mechs representing 9 nations: USA, UK, South Korea, Russia, Germany, China, Japan, France and Brazil- 8 battlegrounds to unlock, including Moscow, London, New York, Seoul, Paris, Shanghai, Hong Kong, Tokyo!- High quality 3D graphics using dynamic animations and cameras- A Story Mode with 16 thrilling stages- Test your mettle in Survival Mode and Arcade Mode- Coming Soon: Local Multiplayer: Compete with other players via Bluetooth!** Please note that this free app contains optional paid content for users who wish to enhance the gaming experience. You can disable in-app purchases by adjusting your device settings. **"
Kids Hair Salon - kids games,Game,https://lh3.ggpht.com/0wIrYBiwCquG55QMkbAwfNeKzVaWtY4BzIMNC1Vx0ZBCxTy9ztRwDBQcJ_zx0ONo5-8=w300,"1,000,000 - 5,000,000","October 9, 2013","Having a beautiful hair-style is every kid' dream.Now you are a hairstylist, come on! Let's design the most beautiful hair-style for the kids."
Halloween SPA - kids games,Game,https://lh6.ggpht.com/hltfm2YL8Y77VXZZfcPZmwzenkc2nY48-Wst90D7-BkUx4VO4RkvgNfrAS2Yqer0WB0=w300,"500,000 - 1,000,000","October 23, 2013","Halloween is coming.Every girl loves to go to SPA. Come to makeover and dress up , and let her become the most beautiful one！It's a kids games for girls!"
Celebrity SPA - girls games,Game,https://lh4.ggpht.com/jpuHuf2HdTuhZkPnJwscMKBUcHpeihibyaazejRdmM9ydaoJ5_zNIlfY7BXSW1UAUMlp=w300,"1,000,000 - 5,000,000","October 15, 2013","Every girl loves to be fashion celebrity. Come to makeover and dress up the celebrity, and let her become the most beautiful one！It's a kids games for girls!"
