PersonID,Score,PhoneUsage,AppDownloadFrequency,AppUsage,Age,Gender,Country,Time,NewSurvey,Source
245,50.0,DAILY,NEVER,NEVER,60 - 64,female,US,1,2013-12-03 14:53:01,turk
246,40.0,DAILY,YEARLY,DAILY,30 - 34,male,IN,1,2013-12-03 14:53:29,turk
247,50.0,MONTHLY,NEVER,NEVER,75 - 79,male,US,1,2013-12-03 14:53:45,turk
248,40.0,DAILY,MONTHLY,WEEKLY,25 - 29,female,US,1,2013-12-03 14:56:59,turk
249,60.0,DAILY,MONTHLY,DAILY,30 - 34,female,US,1,2013-12-03 15:04:04,turk
250,70.0,DAILY,MONTHLY,DAILY,30 - 34,male,US,1,2013-12-03 15:13:31,turk
252,30.0,DAILY,YEARLY,WEEKLY,65 - 69,female,US,1,2013-12-03 15:40:40,turk
253,40.0,DAILY,YEARLY,MONTHLY,50 - 54,female,US,1,2013-12-03 15:48:40,turk
254,40.0,DAILY,WEEKLY,DAILY,35 - 39,male,US,1,2013-12-03 16:31:48,turk
255,40.0,DAILY,MONTHLY,DAILY,30 - 34,female,US,1,2013-12-03 17:08:33,turk
256,50.0,DAILY,WEEKLY,DAILY,25 - 29,female,US,1,2013-12-03 17:35:31,turk
257,30.0,DAILY,YEARLY,MONTHLY,15 - 19,female,US,1,2013-12-03 20:22:08,turk
258,50.0,DAILY,MONTHLY,DAILY,20 - 24,male,CN,1,2013-12-03 20:22:35,turk
259,30.0,DAILY,MONTHLY,WEEKLY,20 - 24,,MY,1,2013-12-03 20:25:24,turk
260,20.0,DAILY,MONTHLY,DAILY,15 - 19,male,US,1,2013-12-03 20:28:58,turk
261,50.0,DAILY,MONTHLY,DAILY,20 - 24,female,US,1,2013-12-03 20:30:12,turk
